,loss,acc,test_loss,test_acc
0,3.0405587109308394,0.5164517164230347,0.4916719725059959,0.81103515625
1,1.3165419234169855,0.9285714030265808,0.3116303756093082,0.91357421875
2,1.1007893785597787,0.9759424924850464,0.08591786411519652,0.96044921875
3,0.964105558773828,0.9878472089767456,0.011661766605250035,0.99462890625
4,0.9086521050286671,0.9861111640930176,0.11861709882937121,0.9814453125
5,0.9146552908988226,0.9837963581085205,0.6134870532028991,0.93359375
6,0.7824334767129686,0.9917328357696533,1.8207639442407522,0.9228515625
7,0.6831619928753565,0.9953703880310059,2.4061815871173167,0.935546875
8,0.6438529254898192,0.9964451193809509,2.2045512795448303,0.931640625
9,0.7687344342943222,0.992559552192688,3.6772932095299513,0.90478515625
